model,graph_complexity,functions,json_valid_rate,success_rate,avg_latency,median_latency,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_keywords,avg_concepts,field_completeness_rate
llama-3.2-3b-instruct,Leaf,96.0,100.0,100.0,2.7958854166666662,2.759,2967.4375,212.42708333333334,3179.8645833333335,3.0416666666666665,2.4375,84.18560606060606
microsoft/phi-4-mini-reasoning,Leaf,96.0,100.0,100.0,4.773697916666666,4.5760000000000005,2952.6770833333335,308.9166666666667,3261.59375,5.90625,3.6770833333333335,89.20454545454545
mistralai/ministral-3-3b,Leaf,96.0,100.0,100.0,6.073364583333333,5.8385,3501.09375,442.8125,3943.90625,5.052083333333333,3.53125,90.62499999999999
opencoder-1.5b-instruct,Leaf,96.0,100.0,100.0,5.328625,5.401999999999999,1527.5729166666667,81.08333333333333,1608.65625,0.041666666666666664,0.03125,46.59090909090908
qwen2.5-1.5b-instruct,Leaf,96.0,100.0,100.0,2.36684375,2.398,3282.3958333333335,241.69791666666666,3524.09375,4.916666666666667,3.53125,80.30303030303031
qwen2.5-coder-3b-instruct,Leaf,96.0,100.0,100.0,3.047708333333333,3.0069999999999997,3282.3958333333335,244.9375,3527.3333333333335,4.270833333333333,3.4791666666666665,85.41666666666666
smollm2-1.7b-instruct,Leaf,96.0,100.0,100.0,2.828427083333333,2.7625,3729.9583333333335,200.3125,3930.2708333333335,1.21875,0.6979166666666666,63.63636363636363
