enrichment_model,embedding_model,functions,queries,R@1,R@5,R@10,MRR,Hit@5,avg_latency,median_latency,weighted_overall_score
raw,bge-small,96,1600,0.2634375,0.5209375,0.6242708333333333,0.422828869047619,0.58875,0.0048625080287456515,0.004751324653625488,0.449866
raw,bge-base,96,1600,0.3390625,0.5767708333333332,0.6834375,0.5030106646825396,0.6475,0.004414863586425781,0.004256129264831543,0.50736
raw,nomic,96,1600,0.29083333333333333,0.5520833333333334,0.676875,0.4607046130952381,0.6225,0.00581214964389801,0.005508780479431152,0.479009
raw,qwen3-0.6b,96,1600,0.5066666666666666,0.7603125,0.8303125,0.6726716269841271,0.82125,0.018458268046379088,0.018250346183776855,0.663576
